order_id,product_id,store_id
3000,P0436,S0074
3001,P0129,S0011
3002,P0389,S0083
3003,P0261,S0122
3004,P0296,S0107
3005,P0613,S0113
3006,P0321,S0135
3007,P0511,S0120
3008,P0175,S0018
3009,P0436,S0105
3010,P0590,S0126
3011,P0226,S0104
3012,P0275,S0108
3013,P0726,S0002
3014,P0649,S0001
3015,P0296,S0010
3016,P0103,S0110
3017,P0611,S0106
3018,P0083,S0107
3019,P0499,S0108
3020,P0694,S0131
3021,P0206,S0043
3022,P0704,S0031
3023,P0704,S0105
3024,P0175,S0035
3025,P0639,S0045
3026,P0090,S0132
3027,P0456,S0040
3028,P0068,S0062
3029,P0400,S0038
3030,P0695,S0004
3031,P0536,S0143
3032,P0171,S0126
3033,P0602,S0018
3034,P0348,S0002
3035,P0356,S0078
3036,P0705,S0051
3037,P0454,S0055
3038,P0527,S0012
3039,P0261,S0068
3040,P0258,S0001
3041,P0183,S0026
3042,P0399,S0065
3043,P0481,S0132
3044,P0046,S0031
3045,P0068,S0055
3046,P0613,S0058
3047,P0694,S0097
3048,P0737,S0132
3049,P0051,S0018
3050,P0297,S0125
3051,P0665,S0052
3052,P0551,S0141
3053,P0640,S0056
3054,P0417,S0008
3055,P0611,S0001
3056,P0116,S0070
3057,P0400,S0088
3058,P0412,S0126
3059,P0079,S0105
3060,P0333,S0013
3061,P0283,S0013
3062,P0351,S0085
3063,P0327,S0003
3064,P0348,S0085
3065,P0183,S0089
3066,P0079,S0056
3067,P0689,S0091
3068,P0125,S0045
3069,P0662,S0062
3070,P0453,S0095
3071,P0044,S0085
3072,P0185,S0103
3073,P0297,S0139
3074,P0663,S0058
3075,P0099,S0119
3076,P0707,S0049
3077,P0099,S0074
3078,P0412,S0108
3079,P0090,S0003
3080,P0483,S0049
3081,P0657,S0110
3082,P0241,S0087
3083,P0092,S0001
3084,P0613,S0107
3085,P0068,S0085
3086,P0639,S0091
3087,P0642,S0010
3088,P0110,S0078
3089,P0684,S0097
3090,P0165,S0104
3091,P0275,S0131
3092,P0400,S0080
3093,P0584,S0060
3094,P0574,S0108
3095,P0377,S0063
3096,P0067,S0020
3097,P0348,S0080
3098,P0321,S0002
3099,P0432,S0115
3100,P0044,S0096
3101,P0261,S0105
3102,P0171,S0016
3103,P0533,S0065
3104,P0427,S0091
3105,P0623,S0090
3106,P0390,S0078
3107,P0083,S0094
3108,P0456,S0031
3109,P0278,S0032
3110,P0590,S0024
3111,P0415,S0110
3112,P0747,S0138
3113,P0024,S0001
3114,P0165,S0117
3115,P0483,S0132
3116,P0125,S0054
3117,P0689,S0067
3118,P0370,S0051
3119,P0681,S0004
3120,P0642,S0055
3121,P0137,S0018
3122,P0356,S0095
3123,P0470,S0097
3124,P0060,S0083
3125,P0333,S0010
3126,P0241,S0067
3127,P0067,S0038
3128,P0615,S0022
3129,P0051,S0066
3130,P0348,S0001
3131,P0417,S0122
3132,P0658,S0073
3133,P0569,S0125
3134,P0459,S0031
3135,P0092,S0107
3136,P0131,S0024
3137,P0072,S0031
3138,P0678,S0126
3139,P0500,S0074
3140,P0664,S0104
3141,P0639,S0096
3142,P0131,S0116
3143,P0656,S0030
3144,P0569,S0016
3145,P0169,S0038
3146,P0705,S0058
3147,P0055,S0104
3148,P0125,S0043
3149,P0332,S0094
3150,P0490,S0096
3151,P0420,S0140
3152,P0740,S0048
3153,P0602,S0126
3154,P0652,S0002
3155,P0642,S0055
3156,P0712,S0008
3157,P0261,S0138
3158,P0283,S0125
3159,P0651,S0091
3160,P0689,S0106
3161,P0704,S0115
3162,P0470,S0025
3163,P0044,S0107
3164,P0623,S0132
3165,P0161,S0132
3166,P0425,S0097
3167,P0057,S0056
3168,P0312,S0115
3169,P0177,S0105
3170,P0376,S0094
3171,P0171,S0035
3172,P0454,S0051
3173,P0524,S0031
3174,P0177,S0066
3175,P0458,S0105
3176,P0171,S0056
3177,P0406,S0063
3178,P0067,S0002
3179,P0436,S0135
3180,P0206,S0022
3181,P0311,S0031
3182,P0116,S0008
3183,P0201,S0053
3184,P0372,S0093
3185,P0171,S0125
3186,P0499,S0087
3187,P0263,S0085
3188,P0185,S0023
3189,P0585,S0043
3190,P0572,S0131
3191,P0332,S0108
3192,P0614,S0012
3193,P0223,S0063
3194,P0015,S0082
3195,P0420,S0110
