Ejari Contract Number,Registration Date,Start Date,End Date,Version,Area,Contract Amount,Annual Amount,Is Free Hold?,Property Size (sq.m),Property Type,Property Sub Type,Number of Rooms,Usage,Nearest Metro,Nearest Mall,Nearest Landmark,Parking,No of Units,Master Project,Project
"0120130811000415","2023-09-23 11:01:23","2023-08-01 00:00:00","2024-07-31 00:00:00","Renewed","Al Qusais Industrial First","67184","67184","Non Free Hold","139.2","Unit","Warehouse","","Commercial","Al Nahda Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120130915003776","2023-09-23 11:36:33","2023-09-23 00:00:00","2024-09-22 00:00:00","Renewed","Al Muteena","30000","30000","Non Free Hold","45.26","Unit","Flat","","Residential","Abu Baker Al Siddique Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120130916002634","2023-09-23 12:10:01","2023-08-22 00:00:00","2024-08-21 00:00:00","Renewed","Al Karama","56550","56550","Non Free Hold","35.02","Unit","Shop","","Commercial","ADCB Metro Station","Dubai Mall","Burj Khalifa","","1","",""
"0120130925002026","2023-09-23 12:08:01","2023-09-25 00:00:00","2024-09-24 00:00:00","Renewed","Ras Al Khor Industrial Third","41800","41800","Non Free Hold","86.68","Unit","Flat","","Residential","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120130926000574","2023-09-23 12:08:03","2023-09-27 00:00:00","2024-09-26 00:00:00","Renewed","Ras Al Khor Industrial Third","41800","41800","Non Free Hold","91.88","Unit","Flat","","Residential","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120130930003911","2023-09-23 12:07:55","2023-09-30 00:00:00","2024-09-29 00:00:00","Renewed","Muhaisanah Fourth","41800","41800","Non Free Hold","99.59","Unit","Flat","","Residential","Al Qusais Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120131006000579","2023-09-23 12:08:06","2023-09-25 00:00:00","2024-09-24 00:00:00","Renewed","Ras Al Khor Industrial Third","34100","34100","Non Free Hold","55.37","Unit","Flat","","Residential","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120140403001209","2023-09-23 11:47:40","2023-10-01 00:00:00","2024-09-30 00:00:00","Renewed","Hor Al Anz","67200","67200","Non Free Hold","134.71","Unit","Flat","","Residential","Abu Baker Al Siddique Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120140528000153","2023-09-23 12:24:20","2023-10-01 00:00:00","2024-09-30 00:00:00","Renewed","Jabal Ali First","48279","48279","Free Hold","105.2","Unit","Flat","","Residential","Ibn Battuta Metro Station","Ibn-e-Battuta Mall","Sports City Swimming Academy","","1","",""
"0120140626000656","2023-09-23 12:28:52","2023-09-29 00:00:00","2024-09-28 00:00:00","Renewed","Al Karama","46200","46200","Non Free Hold","91.97","Unit","Flat","","Residential","ADCB Metro Station","Dubai Mall","Burj Khalifa","","1","",""
"0120140817002189","2023-09-23 12:07:59","2023-08-29 00:00:00","2024-08-28 00:00:00","Renewed","Muhaisanah Fourth","23663","23663","Non Free Hold","37.35","Unit","Flat","","Residential","Etisalat Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120141025000176","2023-09-23 13:23:50","2023-10-19 00:00:00","2024-10-18 00:00:00","Renewed","Jabal Ali First","53107","53107","Free Hold","94","Unit","Flat","","Residential","Ibn Battuta Metro Station","Ibn-e-Battuta Mall","Sports City Swimming Academy","","1","",""
