order_id,order_date,order_date_2,sales,revenue,stock,price,promo_type_1,promo_bin_1,promo_type_2,promo_bin_2,promo_discount_2
18117,1/1/2018,1-Jan-18,0,0,3,24.95,PR14,,PR03,,NA
18118,1/1/2018,1-Jan-18,0,0,6,15,PR14,,PR03,,NA
18119,1/1/2018,1-Jan-18,0,0,3,7.95,PR14,,PR03,,NA
18120,1/1/2018,1-Jan-18,0,0,39,2.45,PR14,,PR03,,NA
18121,1/1/2018,1-Jan-18,0,0,1,,PR14,,PR03,,NA
18122,1/1/2018,1-Jan-18,1,3.75,28,4.05,PR14,,PR03,,NA
18123,1/1/2018,1-Jan-18,0,0,4,10.9,PR14,,PR03,,NA
18124,1/1/2018,1-Jan-18,1,18.98,7,20.5,PR14,,PR03,,NA
18125,1/1/2018,1-Jan-18,0,0,34,2.45,PR14,,PR03,,NA
18126,1/1/2018,1-Jan-18,0,0,15,59.9,PR14,,PR03,,NA
18127,1/1/2018,1-Jan-18,0,0,10,23.5,PR14,,PR03,,NA
18128,1/1/2018,1-Jan-18,0,0,8,,PR14,,PR03,,NA
18129,1/1/2018,1-Jan-18,0,0,12,3.5,PR14,,PR03,,NA
18130,1/1/2018,1-Jan-18,1,16.91,6,19.95,PR14,,PR03,,NA
18131,1/1/2018,1-Jan-18,0,0,11,9.9,PR14,,PR03,,NA
18132,1/1/2018,1-Jan-18,0,0,10,0.75,PR14,,PR03,,NA
18133,1/1/2018,1-Jan-18,0,0,4,104.9,PR14,,PR03,,NA
18134,1/1/2018,1-Jan-18,1,1.57,7,1.7,PR14,,PR03,,NA
18135,1/1/2018,1-Jan-18,0,0,1,9.45,PR05,low,PR03,,NA
18136,1/1/2018,1-Jan-18,0,0,30,4.9,PR14,,PR03,,NA
18137,1/1/2018,1-Jan-18,0,0,6,2,PR14,,PR03,,NA
18138,1/1/2018,1-Jan-18,0,0,8,0.5,PR14,,PR03,,NA
18139,1/1/2018,1-Jan-18,0,0,2,7,PR05,moderate,PR03,,NA
18140,1/1/2018,1-Jan-18,1,8.01,7,9.45,PR14,,PR03,,NA
18141,1/1/2018,1-Jan-18,0,0,3,6.4,PR14,,PR03,,NA
18142,1/1/2018,1-Jan-18,3,1.39,33,0.5,PR14,,PR03,,NA
18143,1/1/2018,1-Jan-18,0,0,5,3.25,PR14,,PR03,,NA
18144,1/1/2018,1-Jan-18,0,0,21,0.75,PR14,,PR03,,NA
18145,1/1/2018,1-Jan-18,0,0,6,10.75,PR14,,PR03,,NA
18146,1/1/2018,1-Jan-18,0,0,5,29.5,PR14,,PR03,,NA
18147,1/1/2018,1-Jan-18,0,0,5,2.95,PR14,,PR03,,NA
18148,1/1/2018,1-Jan-18,0,0,8,2,PR14,,PR03,,NA
18149,1/1/2018,1-Jan-18,1,2.31,9,2.5,PR14,,PR03,,NA
18150,1/1/2018,1-Jan-18,0,0,8,7.95,PR14,,PR03,,NA
18151,1/1/2018,1-Jan-18,0,0,7,4.5,PR14,,PR03,,NA
18152,1/1/2018,1-Jan-18,2,10,17,5.9,PR14,,PR03,,NA
18153,1/1/2018,1-Jan-18,0,0,2,7.5,PR14,,PR03,,NA
18154,1/1/2018,1-Jan-18,0,0,30,0.75,PR14,,PR03,,NA
18155,1/1/2018,1-Jan-18,1,11.02,5,11.9,PR14,,PR03,,NA
18156,1/1/2018,1-Jan-18,0,0,3,4.95,PR07,verylow,PR03,,NA
18157,1/1/2018,1-Jan-18,0,0,4,6.4,PR14,,PR03,,NA
18158,1/1/2018,1-Jan-18,0,0,6,29.9,PR14,,PR03,,NA
18159,1/1/2018,1-Jan-18,0,0,5,3.95,PR14,,PR03,,NA
18160,1/1/2018,1-Jan-18,0,0,9,6,PR14,,PR03,,NA
18161,1/1/2018,1-Jan-18,0,0,3,5.25,PR14,,PR03,,NA
18162,1/1/2018,1-Jan-18,0,0,11,0.65,PR14,,PR03,,NA
18163,1/1/2018,1-Jan-18,0,0,1,5.5,PR14,,PR03,,NA
18164,1/1/2018,1-Jan-18,1,2.97,48,3.5,PR14,,PR03,,NA
18165,1/1/2018,1-Jan-18,0,0,27,5.9,PR14,,PR03,,NA
18166,1/1/2018,1-Jan-18,0,0,1,42.9,PR14,,PR03,,NA
18167,1/1/2018,1-Jan-18,0,0,5,10.75,PR05,verylow,PR03,,NA
18168,1/1/2018,1-Jan-18,0,0,48,,PR14,,PR03,,NA
18169,1/1/2018,1-Jan-18,0,0,10,16.9,PR10,verylow,PR03,,NA
18170,1/1/2018,1-Jan-18,0,0,3,1.15,PR14,,PR03,,NA
18171,1/1/2018,1-Jan-18,0,0,5,5.5,PR14,,PR03,,NA
18172,1/1/2018,1-Jan-18,0,0,5,3.25,PR14,,PR03,,NA
18173,1/1/2018,1-Jan-18,0,0,26,2.35,PR14,,PR03,,NA
18174,1/1/2018,1-Jan-18,0,0,6,10.9,PR14,,PR03,,NA
18175,1/1/2018,1-Jan-18,0,0,18,2.25,PR14,,PR03,,NA
18176,1/1/2018,1-Jan-18,1,2.87,30,3.1,PR14,,PR03,,NA
18177,1/1/2018,1-Jan-18,1,3.81,39,4.5,PR14,,PR03,,NA
18178,1/1/2018,1-Jan-18,0,0,3,2.25,PR14,,PR03,,NA
18179,1/1/2018,1-Jan-18,0,0,5,11.9,PR14,,PR03,,NA
18180,1/2/2018,2-Jan-18,0,0,32,4.5,PR03,verylow,PR03,,NA
18181,1/2/2018,2-Jan-18,0,0,7,20.5,PR14,,PR03,,NA
18182,1/2/2018,2-Jan-18,0,0,6,4.25,PR14,,PR03,,NA
18183,1/2/2018,2-Jan-18,1,8.43,12,9.95,PR14,,PR03,,NA
18184,1/2/2018,2-Jan-18,0,0,15,9.95,PR14,,PR03,,NA
18185,1/2/2018,2-Jan-18,1,1.85,4,2.25,PR10,verylow,PR03,,NA
18186,1/2/2018,2-Jan-18,0,0,1,6.4,PR14,,PR03,,NA
18187,1/2/2018,2-Jan-18,0,0,6,4,PR14,,PR03,,NA
18188,1/2/2018,2-Jan-18,1,10.08,9,,PR14,,PR03,,NA
18189,1/2/2018,2-Jan-18,0,0,8,2.5,PR14,,PR03,,NA
18190,1/2/2018,2-Jan-18,0,0,24,5.75,PR14,,PR03,,NA
18191,1/2/2018,2-Jan-18,0,0,8,12.95,PR05,low,PR03,,NA
18192,1/2/2018,2-Jan-18,0,0,3,8.9,PR05,moderate,PR03,,NA
18193,1/2/2018,2-Jan-18,2,2.31,11,1.25,PR14,,PR03,,NA
18194,1/2/2018,2-Jan-18,0,0,9,1.7,PR14,,PR03,,NA
18195,1/2/2018,2-Jan-18,0,0,3,11.9,PR14,,PR03,,NA
18196,1/2/2018,2-Jan-18,0,0,6,31.9,PR14,,PR03,,NA
18197,1/2/2018,2-Jan-18,0,0,5,11.9,PR14,,PR03,,NA
18198,1/2/2018,2-Jan-18,0,0,28,4.5,PR14,,PR03,,NA
18199,1/2/2018,2-Jan-18,0,0,7,3.5,PR05,verylow,PR03,,NA
18200,1/2/2018,2-Jan-18,0,0,7,11.9,PR14,,PR03,,NA
18201,1/2/2018,2-Jan-18,1,7.36,5,7.95,PR14,,PR03,,NA
18202,1/2/2018,2-Jan-18,0,0,4,6,PR14,,PR03,,NA
18203,1/2/2018,2-Jan-18,0,0,4,4.95,PR07,verylow,PR03,,NA
18204,1/2/2018,2-Jan-18,1,0.7,23,,PR14,,PR03,,NA
18205,1/2/2018,2-Jan-18,0,0,4,0.5,PR14,,PR03,,NA
18206,1/2/2018,2-Jan-18,0,0,8,17.25,PR14,,PR03,,NA
18207,1/2/2018,2-Jan-18,0,0,4,7.95,PR14,,PR03,,NA
18208,1/2/2018,2-Jan-18,0,0,3,,PR14,,PR03,,NA
18209,1/2/2018,2-Jan-18,0,0,6,15.5,PR14,,PR03,,NA
18210,1/2/2018,2-Jan-18,0,0,7,9.95,PR14,,PR03,,NA
18211,1/2/2018,2-Jan-18,0,0,24,5.5,PR14,,PR03,,NA
18212,1/2/2018,2-Jan-18,4,24.07,114,6.5,PR03,verylow,PR03,,NA
18213,1/2/2018,2-Jan-18,1,1.62,23,1.75,PR14,,PR03,,NA
18214,1/2/2018,2-Jan-18,3,18.06,36,6.5,PR03,verylow,PR03,,NA
18215,1/2/2018,2-Jan-18,0,0,3,7.9,PR14,,PR03,,NA
18216,1/2/2018,2-Jan-18,0,0,22,10.75,PR14,,PR03,,NA
18217,1/2/2018,2-Jan-18,0,0,6,20.9,PR14,,PR03,,NA
18218,1/2/2018,2-Jan-18,0,0,16,4,PR05,verylow,PR03,,NA
18219,1/2/2018,2-Jan-18,0,0,12,9.99,PR14,,PR03,,NA
18220,1/2/2018,2-Jan-18,0,0,30,4.5,PR14,,PR03,,NA
18221,1/2/2018,2-Jan-18,0,0,79,,PR14,,PR03,,NA
18222,1/2/2018,2-Jan-18,0,0,11,1,PR14,,PR03,,NA
18223,1/2/2018,2-Jan-18,1,0.69,18,0.75,PR14,,PR03,,NA
18224,1/2/2018,2-Jan-18,0,0,144,2,PR14,,PR03,,NA
18225,1/2/2018,2-Jan-18,0,0,9,0.7,PR14,,PR03,,NA
18226,1/2/2018,2-Jan-18,0,0,2,3.35,PR14,,PR03,,NA
18227,1/2/2018,2-Jan-18,2,7.13,17,3.85,PR14,,PR03,,NA
18228,1/2/2018,2-Jan-18,0,0,10,2.65,PR14,,PR03,,NA
18229,1/2/2018,2-Jan-18,0,0,3,12,PR14,,PR03,,NA
18230,1/2/2018,2-Jan-18,0,0,23,5.5,PR14,,PR03,,NA
18231,1/2/2018,2-Jan-18,0,0,13,2.2,PR14,,PR03,,NA
18232,1/2/2018,2-Jan-18,0,0,1,,PR14,,PR03,,NA
18233,1/2/2018,2-Jan-18,0,0,30,2,PR14,,PR03,,NA
18234,1/2/2018,2-Jan-18,0,0,7,10.75,PR05,verylow,PR03,,NA
18235,1/2/2018,2-Jan-18,3,8.19,96,2.95,PR14,,PR03,,NA
