title ,worldwide gross (m),% budget recovered,X times budget recovered,budget  (millions),domestic gross (m),domestic %,international gross (m),% of gross from international,worldwide gross,year,decade,source,budget source,force label,horror
300,456,702%,7,65,211,46.2%,245,53.8%,456082343,2007,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=468,,,not horror
1917,385,427%,4.3,90,159,41.4%,225,58.6%,384576334,2019,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=549,"https://www.nytimes.com/2020/01/12/movies/1917-box-office-no-1.html#:~:text=Directed%20by%20Sam%20Mendes%20and,make%2C%20not%20including%20marketing%20expenses.",,not horror
2012,791,396%,4,200,166,21.0%,625,79.0%,791217826,2009,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=299,,,not horror
101 Dalmatians,321,479%,4.8,67,136,42.5%,185,57.5%,320689294,1996,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=678,"https://en.wikipedia.org/wiki/101_Dalmatians_(1996_film)#:~:text=101%20Dalmatians%20was%20released%20on,highest%2Dgrossing%20film%20of%201996.",,not horror
22 Jump Street,331,663%,6.6,50,192,57.9%,140,42.1%,331333876,2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=657,,,not horror
300: Rise of an Empire,338,307%,3.1,110,107,31.6%,231,68.4%,337580051,2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=642,,,not horror
A Beautiful Mind,317,546%,5.5,58,171,53.9%,146,46.1%,316791257,2001,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=684,https://en.wikipedia.org/wiki/A_Beautiful_Mind_(film),,not horror
A Bug's Life,363,303%,3,120,163,44.8%,200,55.2%,363258859,1998,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=589,https://en.wikipedia.org/wiki/A_Bug%27s_Life,,not horror
A Christmas Carol,325,163%,1.6,200,138,42.4%,187,57.6%,325286646,2009,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=669,,,not horror
A Haunted House,60,2406%,24.1,2.5,40,66.6%,20.1,33.4%,60141683,2013,2010's,,,,horror
A Quiet Place,341,2006%,20.1,17,188,55.2%,153,44.8%,340952971,2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=639,,,horror
A Star Is Born,436,1212%,12.1,36,215,49.4%,221,50.6%,436233122,2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=486,,,not horror
Air Force One,315,371%,3.7,85,173,54.9%,142,45.1%,315156409,1997,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=687,https://en.wikipedia.org/wiki/Air_Force_One_(film),,not horror
Aladdin,1051,574%,5.7,183,356,33.8%,695,66.2%,1050693953,2019,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=240,,,not horror
Aladdin,504,1800%,18,28,217,43.1%,287,56.9%,504050219,1992,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=426,https://en.wikipedia.org/wiki/Aladdin_(1992_Disney_film),,not horror
Alice in Wonderland,1025,513%,5.1,200,334,32.6%,691,67.4%,1025468216,2010,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=246,,,not horror
Alita: Battle Angel,405,238%,2.4,170,86,21.2%,319,78.8%,404980543,2019,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=524,,,not horror
Alvin & the Chipmunks: The Squeakquel,443,591%,5.9,75,220,49.6%,224,50.4%,443140005,2009,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=480,,,not horror
Alvin and the Chipmunks,365,522%,5.2,70,217,59.5%,148,40.5%,365352546,2007,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=586,,,not horror
Alvin and the Chipmunks: Chipwrecked,343,428%,4.3,80,133,38.8%,210,61.2%,342695435,2011,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=636,https://en.wikipedia.org/wiki/Alvin_and_the_Chipmunks:_Chipwrecked,,not horror
American Beauty,356,2375%,23.8,15,130,36.5%,226,63.5%,356296601,1999,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=605,"https://en.wikipedia.org/wiki/American_Beauty_(1999_film)#:~:text=It%20was%20the%20second%2Dbest,against%20its%20%2415%2Dmillion%20budget.",,not horror
American Sniper,547,928%,9.3,59,350,64.0%,197,36.0%,547459020,2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=397,,,not horror
Angels & Demons,486,324%,3.2,150,133,27.4%,353,72.6%,485930816,2009,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=438,,,not horror
Annabelle,255,3927%,39.3,6.5,84.3,33.0%,171,67.0%,255273813,2014,2010's,,,,horror
Annabelle: Creation,306,2039%,20.4,15,102.1,33.4%,203.7,66.6%,305792201,2017,2010's,,,,horror
Ant-Man,519,399%,4,130,180,34.7%,339,65.3%,519311965,2015,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=422,,,not horror
