"Rank","Title","Type","Premiere","Genre","Watchtime","Watchtime in Million"
"1.","The Night Agent","TV Show","2023","Action","812,100,000","812.1M"
"2.","Ginny & Georgia","TV Show","2021","Drama","665,100,000","665.1M"
"3.","The Glory","TV Show","2022","Thriller","622,800,000","622.8M"
"4.","Wednesday","TV Show","2022","Fantasy","507,700,000","507.7M"
"5.","Queen Charlotte: A Bridgerton Story","TV Show","2023","Drama","503,000,000","503.0M"
"6.","You","TV Show","2018","Crime","440,600,000","440.6M"
"7.","La Reina del Sur","TV Show","2011","Drama","429,600,000","429.6M"
"8.","Outer Banks","TV Show","2020","Drama","402,500,000","402.5M"
"9.","Ginny & Georgia","TV Show","2021","Drama","302,100,000","302.1M"
"10.","FUBAR","TV Show","2023","Action","266,200,000","266.2M"
"11.","Manifest","TV Show","2018","Thriller","262,600,000","262.6M"
"12.","Kaleidoscope","TV Show","2023","Crime","252,500,000","252.5M"
"13.","Firefly Lane","TV Show","2021","Drama","251,500,000","251.5M"
"14.","The Mother","Movie","2023","Thriller","249,900,000","249.9M"
"15.","Physical: 100","TV Show","2023","Reality-Show","235,000,000","235.0M"
"16.","Crash Course In Romance","TV Show","2023","Comedy","234,800,000","234.8M"
"17.","Love Is Blind","TV Show","2020","Reality-Show","229,700,000","229.7M"
"18.","Beef","TV Show","2023","Comedy","221,100,000","221.1M"
"19.","The Diplomat","TV Show","2023","Drama","214,100,000","214.1M"
"20.","Luther: The Fallen Sun","Movie","2023","Crime","209,700,000","209.7M"
"21.","Perfil falso","TV Show","2023","Drama","206,500,000","206.5M"
"22.","Vikings: Valhalla","TV Show","2022","History","205,500,000","205.5M"
"23.","Extraction 2","Movie","2023","Action","201,800,000","201.8M"
"24.","XO, Kitty","TV Show","2023","Comedy","200,700,000","200.7M"
"25.","Doctor Cha","TV Show","2023","Comedy","194,700,000","194.7M"
"26.","Shadow and Bone","TV Show","2021","Fantasy","192,900,000","192.9M"
"27.","Outer Banks","TV Show","2020","Drama","184,000,000","184.0M"
"28.","Sweet Tooth","TV Show","2021","Superhero","182,300,000","182.3M"
"29.","You People","Movie","2023","Comedy","181,800,000","181.8M"
"30.","Perfect Match","TV Show","2023","Reality-Show","176,800,000","176.8M"
"31.","Sex/Life","TV Show","2021","Drama","175,500,000","175.5M"
"32.","The Marked Heart","TV Show","2022","Thriller","174,300,000","174.3M"
"33.","Murder Mystery 2","Movie","2023","Comedy","173,600,000","173.6M"
