ACCIDENT_ID,POLICYHOLDER_ID,VEHICLE_ID,ACCIDENT_TYPE,ACCIDENT_DATE,ESTIMATED_COST,ACTUAL_REPAIR_COST,AT_FAULT,DUI
1,4333,176,3,2022-03-30,6694,7480,TRUE,TRUE
2,4547,6391,4,2023-09-27,2190,3355,TRUE,FALSE
3,6686,6974,7,2022-06-13,4995,7123,FALSE,FALSE
4,1300,4037,7,2020-01-21,694,850,FALSE,FALSE
5,1638,6061,7,2019-01-11,8939,11116,FALSE,FALSE
7,4372,2038,1,2020-09-25,290,383,TRUE,FALSE
8,6147,4883,5,2022-12-19,2220,3017,TRUE,FALSE
9,1367,4656,6,2022-01-11,8985,13817,FALSE,FALSE
10,2744,4804,1,2022-03-14,3825,5248,TRUE,FALSE
11,1896,3808,5,2020-04-30,6771,7393,TRUE,FALSE
12,9162,6079,7,2020-11-09,8765,13942,FALSE,FALSE
13,3490,8574,6,2020-12-12,6564,7980,TRUE,FALSE
14,9217,1927,5,2023-07-23,9729,13503,FALSE,FALSE
15,7159,1451,2,2019-10-05,9860,10776,FALSE,FALSE
16,683,8107,4,2021-06-13,6753,9074,FALSE,TRUE
17,5257,4910,7,2019-01-10,7795,10295,FALSE,FALSE
19,302,6343,4,2020-05-01,1646,1744,FALSE,FALSE
20,5996,575,2,2023-09-16,1035,1408,FALSE,FALSE
21,8424,6113,5,2020-02-21,5031,5500,TRUE,TRUE
23,7387,4950,7,2021-07-02,9912,13146,FALSE,FALSE
24,8982,9174,3,2019-06-24,9857,13287,TRUE,FALSE
28,6785,777,2,2019-08-16,9770,15248,TRUE,FALSE
32,2548,1034,2,2022-09-29,7703,10827,TRUE,FALSE
33,7024,5182,3,2020-01-31,8963,11698,TRUE,FALSE
34,7044,8491,6,2020-06-17,6010,7274,TRUE,FALSE
36,4571,5672,6,2020-06-09,7802,11668,TRUE,FALSE
38,7445,7407,7,2019-03-17,1012,1364,FALSE,FALSE
39,561,2075,4,2023-06-17,8341,11194,TRUE,FALSE
40,4034,6540,2,2020-04-25,1200,1525,TRUE,FALSE
41,4601,2612,6,2022-04-08,3400,4173,TRUE,TRUE
42,1273,6051,2,2021-03-08,1286,1782,FALSE,FALSE
44,9603,6463,2,2020-08-15,7401,10670,TRUE,FALSE
45,5135,913,2,2023-08-10,7686,11168,FALSE,FALSE
46,5354,4089,1,2022-04-18,5435,7644,FALSE,FALSE
