COVERAGE_ID,POLICYHOLDER_ID,COVERAGE_STATUS
1,5348,Active
2,360,Active
3,9768,Active
4,3871,Active
5,7397,Active
6,7823,Active
7,8689,Active
8,4537,Expired
9,1,Active
12,530,Active
14,6955,Active
15,848,Active
16,616,Active
18,2935,Active
20,6892,Expired
21,7468,Expired
22,5658,Active
23,7360,Active
26,8534,Active
27,6354,Active
28,4984,Active
30,133,Expired
36,3684,Active
37,9951,Expired
38,2006,Active
40,6941,Active
42,9976,Active
45,3394,Expired
46,2033,Active
47,97,Active
50,5513,Active
51,935,Expired
52,8872,Expired
53,5746,Active
56,4769,Expired
57,3464,Active
58,410,Expired
60,8166,Active
61,2901,Expired
63,1467,Expired
64,4067,Active
65,73,Active
66,9255,Active
69,6548,Expired
71,5199,Active
72,8838,Expired
75,5285,Active
76,7559,Active
78,9133,Active
79,4676,Active
82,378,Active
84,1517,Active
85,3700,Active
86,288,Active
90,215,Active
91,4875,Expired
92,3607,Expired
94,7876,Expired
95,8146,Active
97,4112,Active
100,4586,Expired
101,5399,Expired
103,4684,Active
104,2826,Active
105,7716,Expired
106,9219,Active
107,3371,Active
109,8729,Expired
111,9132,Active
112,7096,Expired
115,1245,Active
116,2345,Active
117,9410,Active
118,7696,Active
120,8730,Expired
122,4094,Active
125,8212,Active
126,3035,Active
127,9676,Active
128,9635,Active
129,5233,Active
130,9735,Expired
131,874,Active
132,4974,Active
133,3514,Active
134,6963,Active
135,8810,Expired
137,8369,Active
138,7805,Active
139,8657,Active
140,2696,Active
141,5960,Active
143,3970,Expired
146,7268,Active
148,4356,Active
151,910,Active
152,5892,Active
153,8771,Active
154,3383,Active
157,1869,Active
160,9125,Expired
161,5520,Expired
164,6479,Active
165,4935,Active
166,9726,Active
167,4899,Active
168,6584,Active
169,4558,Active
170,3055,Active
171,4005,Expired
173,6693,Active
174,3003,Active
178,5150,Active
179,2908,Expired
181,6013,Active
182,9247,Expired
183,1747,Active
184,6374,Active
185,5186,Expired
187,9929,Active
190,3982,Active
191,2064,Expired
193,6482,Active
194,4922,Expired
197,5353,Active
198,4781,Active
199,6691,Expired
201,8371,Active
202,1300,Active
203,2155,Expired
204,7805,Active
205,9608,Active
206,4858,Expired
208,5911,Expired
209,4579,Active
213,7272,Expired
214,9173,Active
216,1887,Expired
217,1144,Expired
218,1210,Active
221,5255,Active
223,6640,Active
224,1838,Active
225,4215,Expired
226,7607,Expired
227,4341,Active
228,9501,Active
229,3748,Expired
230,1283,Active
231,9263,Expired
232,3783,Active
234,8071,Expired
235,3338,Expired
237,4988,Expired
239,7734,Active
240,6024,Active
241,8489,Active
244,1352,Active
245,9206,Active
246,3424,Active
247,4786,Active
248,2833,Expired
249,5953,Expired
250,4196,Expired
251,5898,Expired
252,8008,Active
253,9040,Active
256,8272,Active
10,7057,Active
11,4189,Active
13,2963,Active
17,9156,Active
19,8707,Active
24,7939,Active
25,1342,Active
29,4162,Active
31,3747,Active
32,293,Active
33,4903,Active
34,1071,Active
35,1228,Active
39,812,Active
41,9034,Active
43,1760,Active
44,361,Active
48,1089,Active
49,4863,Active
54,2092,Active
55,8630,Active
59,2119,Active
62,9139,Active
67,765,Active
68,6254,Active
70,6663,Active
73,2125,Active
74,2863,Active
77,923,Active
80,1892,Active
81,6855,Active
83,7653,Active
87,5324,Active
88,8386,Active
89,6452,Active
93,6322,Active
96,3239,Active
98,5880,Active
99,6449,Active
102,2171,Active
108,5825,Active
110,8122,Active
113,4903,Active
114,4091,Active
119,3512,Active
121,628,Active
123,6301,Active
124,4864,Active
136,9034,Active
142,1799,Active
144,9401,Active
