VEHICLE_ID,POLICYHOLDER_ID,BODY_STYLE_CODE,YEAR
1,9135,20,1975
2,7281,20,2016
3,7169,19,2017
4,8488,19,1975
5,6487,3,1988
6,1289,20,1991
7,254,3,2004
8,7184,3,1982
9,6856,20,1998
10,7745,30,1997
11,7783,20,2010
12,2747,20,2008
13,4779,19,1991
14,7066,19,2007
15,4624,3,1981
16,8042,20,1975
17,6233,30,1975
18,2548,30,1981
19,8525,20,1978
20,8161,19,1977
21,6110,20,1988
22,9125,30,1982
23,8830,3,1983
24,1838,3,1980
25,1723,30,1971
26,7270,30,1988
27,6236,30,1999
28,2750,30,1980
29,971,30,2011
30,5152,19,1977
31,6517,19,1996
32,1631,3,1996
33,9143,20,1987
34,7903,19,1986
35,1549,19,1987
36,1226,3,1992
37,5252,30,1973
38,9863,19,1978
39,2273,19,1972
40,1444,30,2003
41,1528,30,1986
42,7075,20,1997
43,597,20,1991
44,843,30,1985
45,2409,3,1991
46,4375,19,1999
47,2482,20,2021
48,1311,19,2015
49,1298,9,1986
50,46,20,2021
51,5414,30,1993
52,344,3,2017
53,2407,9,2002
54,6263,30,2020
55,6320,20,1970
56,7177,20,2000
57,4640,30,2021
58,7139,30,1984
59,2105,3,2003
60,7091,9,1996
61,5056,20,2001
62,2284,20,2001
63,4580,30,1992
64,210,3,1979
65,6530,19,1971
66,9210,19,1984
67,7386,30,1988
68,4044,30,1979
69,8074,20,1970
70,9340,19,2005
71,8028,19,1988
72,9660,20,1989
73,2185,3,1991
74,6683,19,1991
75,3639,20,2017
76,3002,3,1999
77,6856,9,2019
78,8752,20,2005
79,689,3,2000
80,4105,19,1989
81,4572,19,2004
82,2213,19,1979
83,8994,30,2017
84,3873,20,2009
85,754,3,2011
86,1235,20,1999
87,9621,30,2013
88,5843,20,2018
89,2201,19,1986
90,5065,20,1991
91,9546,19,1991
92,7046,30,2010
93,4025,3,2006
94,8390,20,1989
95,1200,30,2001
96,7144,9,1972
97,4470,9,1994
98,208,30,1988
99,7579,20,1990
100,9976,20,1976
101,3235,20,2015
102,1716,19,1989
103,1466,19,2011
104,213,3,1985
105,6081,20,1987
106,1811,3,2023
107,6271,19,2015
108,504,19,1971
109,114,3,1994
110,7665,19,2013
111,4012,20,1993
112,7108,3,1990
113,9383,30,2016
114,882,19,2000
115,1089,19,2016
116,3479,19,2002
117,8540,20,2013
118,3551,20,2005
119,6182,19,1978
120,2278,30,2004
121,5059,3,2014
122,8086,19,1975
123,4181,20,2010
124,5559,20,2009
125,7357,30,1981
126,4475,3,1989
127,9140,19,1991
128,3213,30,1974
129,292,3,2017
130,5591,3,2011
131,6118,9,1978
132,5085,9,2014
133,9185,20,2021
134,4742,30,2001
135,5755,20,2020
136,4445,20,2008
137,8095,20,2015
138,1332,30,1995
139,1761,30,2011
140,7250,3,1977
141,7052,30,2013
142,1438,19,1978
143,9759,20,1994
144,7800,20,1971
145,384,30,1977
146,6629,20,1983
147,2806,19,1976
148,9624,20,2022
149,1201,3,2010
150,5208,19,1985
151,4595,30,1985
152,4865,3,2007
153,337,9,1974
154,9935,20,1998
155,3915,19,1990
156,1582,30,1977
157,1736,20,1986
158,47,20,1987
159,9193,20,2005
160,2425,20,1970
161,4549,30,1998
162,5069,20,2017
163,4996,20,2008
164,3494,30,1992
165,7613,20,1977
166,9638,9,2001
167,2662,3,1975
168,7410,30,2018
169,7689,9,2008
170,6856,3,1994
171,4327,19,2009
172,502,3,2014
173,1779,19,1982
174,6939,20,1986
175,3829,3,1999
176,2258,30,1983
177,9305,20,1977
178,6978,20,1991
179,3880,20,2014
180,5218,30,1973
181,5701,19,2018
182,4233,19,1979
183,1458,20,2007
184,2334,20,1987
185,9565,20,1976
186,3705,20,1983
187,4118,20,1981
188,9324,3,1983
189,8636,3,2016
190,7283,20,1993
191,6313,19,1993
192,5744,30,1974
193,2060,3,1995
194,1008,19,1999
195,8066,30,1978
196,4856,19,1973
197,690,19,2014
198,2891,3,2011
199,109,20,2010
200,845,9,1989
201,4017,30,1970
202,5053,20,1974
203,5902,20,2000
204,4218,20,1993
205,5280,19,2017
206,7689,20,1982
207,5389,3,2014
208,1282,19,1971
209,5693,20,1980
210,9773,20,2016
211,5833,19,2008
212,8117,3,1972
213,4370,3,1995
214,100,30,2012
215,4012,19,1997
216,3196,20,2001
217,1222,30,1975
218,3751,20,1970
219,2427,30,1974
220,143,3,1999
221,9642,20,1987
222,1600,19,2004
223,3124,20,1974
224,136,9,2004
225,7575,30,2013
226,1420,20,2013
227,3658,20,2020
228,5205,30,2019
229,7963,19,1990
230,4409,20,1996
231,2211,19,1990
232,6656,3,2000
233,1367,20,2023
234,9677,3,1986
235,5778,30,1987
236,9929,9,1988
237,5028,19,1971
238,126,20,1990
239,547,20,2022
240,8961,20,1977
241,9532,20,2017
242,1557,3,2013
243,8921,20,1976
244,1834,20,1997
245,4465,9,1979
246,5972,9,1972
247,7499,19,2010
248,9139,20,1987
249,2893,30,1979
250,1937,20,1989
251,3036,20,2001
252,6699,3,1981
253,7745,30,2016
254,9241,19,2013
255,5709,3,1988
256,5974,3,2003
257,1396,30,1997
258,4800,3,2015
259,2283,19,1974
260,2970,30,1992
261,7429,20,1996
262,7843,20,2018
263,7578,30,1999
264,4144,30,1994
265,4525,3,1984
266,3716,20,1990
267,5628,30,1977
268,6746,20,1980
269,9955,20,2008
270,65,20,1996
271,92,3,1991
272,7917,19,2019
273,4394,20,2002
274,8398,3,1992
275,4912,19,1983
276,3551,3,2010
277,2666,19,1990
278,6855,19,2020
279,4577,19,2002
280,5471,9,2010
281,7587,20,1985
282,1731,20,2022
283,6760,3,1995
284,159,19,2021
285,6094,30,2014
286,6586,20,2012
287,5243,30,1998
288,510,20,2014
289,8228,19,1982
290,4623,30,1990
291,9101,20,2000
292,6346,20,1970
293,8185,20,1987
294,3557,3,2021
295,1970,3,1999
296,3098,3,1973
297,8399,3,1989
298,8724,20,1996
299,211,20,1971
300,7459,30,1987
301,5153,19,2021
302,2704,30,2014
303,5098,3,2015
304,156,20,2000
305,6014,3,2007
306,2909,20,1999
307,4371,20,2007
308,1538,19,2004
309,4574,20,1978
310,4232,9,1981
311,5320,3,2014
312,2458,20,1972
313,7983,3,2013
314,2104,20,1998
315,585,3,2011
316,4663,3,1986
317,6039,20,1975
318,3891,20,2003
319,7068,19,1972
320,7716,20,1972
321,6100,20,2019
322,6169,3,2004
323,777,9,1970
324,354,3,1981
325,1118,20,1984
326,1405,3,1976
327,3045,20,2001
328,4481,19,1972
329,1547,20,2014
330,4633,30,1970
331,4504,20,1983
332,4697,3,1998
333,5740,20,1990
334,2942,20,1997
335,1073,20,2004
336,3315,20,1982
337,6930,20,2011
338,5832,3,2007
339,7029,20,2004
340,4961,20,1976
341,6975,19,1995
342,5828,30,1975
343,9069,20,2001
344,8251,20,1970
345,309,19,2006
346,9330,19,1990
347,8340,19,1991
348,9511,19,2005
349,6676,30,2021
350,9938,20,2022
351,9065,3,1994
352,4398,20,2001
353,1484,3,2019
354,1801,20,2008
355,5225,19,1985
356,6635,20,2011
357,9103,19,2005
358,1646,20,2005
359,4276,20,1979
360,1847,20,2004
361,8748,20,1976
362,4073,30,1989
363,2957,20,2007
364,7935,20,1971
365,6522,20,1976
366,8546,30,1999
367,8707,9,1975
368,6749,30,1984
369,2747,3,2000
370,1358,20,1990
371,8191,30,2007
372,4850,20,1973
373,2707,19,2006
374,6658,19,1992
375,6576,20,1977
376,7396,3,1981
377,2225,30,1979
378,2256,20,2017
379,3393,3,2020
380,5315,19,1999
381,1160,19,1993
382,3728,20,1992
383,9276,20,2006
384,5822,30,1979
385,6443,30,2008
386,9384,20,1994
387,8502,20,1985
388,4918,19,2021
389,8672,19,2008
390,8259,20,1994
391,2149,20,2021
392,4944,19,2017
393,3897,20,2017
394,7957,20,1971
395,9744,3,1977
396,6708,19,1985
397,1722,19,1999
398,7388,20,2017
399,6806,19,1985
400,7394,30,1987
401,3083,30,2015
402,6310,20,1998
403,7977,20,1982
404,361,3,1992
405,2149,3,1971
406,5928,19,2004
407,4949,3,1985
408,9611,20,2021
409,4238,20,1972
410,4687,9,1978
411,2536,3,2019
412,1563,20,1980
413,7751,30,1984
414,554,3,2016
415,3095,20,1994
416,5419,19,2012
417,2011,20,1996
418,7297,3,2014
419,7750,20,2001
420,4052,9,2022
421,437,20,1974
422,1347,20,2005
423,824,20,2001
424,1425,30,1993
425,5089,19,1984
426,9632,19,1992
427,633,30,1970
428,7006,30,2006
429,9129,19,1985
430,4725,30,1983
431,4408,9,2010
432,6107,3,2005
433,1856,20,2015
434,7851,3,2021
435,6833,30,1991
436,8984,19,2020
437,3952,20,2016
438,6164,20,2018
439,1144,20,2008
440,5666,20,1979
441,1280,3,1990
442,2292,20,2009
443,2432,20,1978
444,104,20,1975
445,8404,20,2001
446,2884,3,2021
447,66,9,1989
448,5958,19,1972
449,3707,30,2004
450,9331,19,1983
451,6381,30,2016
452,2058,19,2014
453,9014,19,1975
454,8177,3,1991
455,2170,30,2015
456,416,3,2004
457,6479,20,1992
458,859,19,2013
459,3697,20,1977
460,7628,30,1997
461,8616,3,1971
462,9694,20,1988
463,4911,20,1973
464,5093,3,2018
465,9684,3,1976
466,4232,3,2006
467,521,3,1994
468,5998,20,2009
469,3232,3,1989
470,2720,20,1970
471,6779,9,1993
472,4842,19,2005
473,3523,20,1987
474,7843,3,1985
475,2765,3,1973
476,691,3,2012
477,7043,20,1974
478,233,20,1989
479,1309,9,2005
480,860,20,2000
481,6708,30,1973
482,8659,3,1990
483,5031,3,1976
484,9911,20,1997
485,8353,20,2014
486,1388,3,2010
487,3034,19,2008
488,2382,20,2010
489,8083,20,2023
490,4596,19,2004
491,8613,9,1984
492,4830,3,2016
493,1011,30,2001
494,6572,19,2008
495,2001,30,2023
496,1435,19,2012
497,2073,30,2011
498,557,30,2015
499,8765,20,2022
500,9128,3,1970
501,2474,20,1998
502,9109,30,2000
503,5667,20,1982
504,915,3,1984
505,5037,19,2002
506,9460,19,1986
507,3110,19,1984
