USE_ID,VEHICLE_ID,USE_CODE
1,1,1
2,2,1
3,3,2
4,4,1
5,5,F
6,6,1
7,7,2
8,8,F
9,9,1
10,10,1
11,11,5
12,12,2
13,13,5
14,14,5
15,15,4
16,16,5
17,17,2
18,18,2
19,19,2
20,20,5
21,21,2
22,22,1
23,23,B
24,24,1
25,25,2
26,26,2
27,27,5
28,28,5
29,29,5
30,30,2
31,31,2
32,32,F
33,33,1
34,34,5
35,35,2
36,36,2
37,37,2
38,38,5
39,39,2
40,40,2
41,41,2
42,42,5
43,43,1
44,44,2
45,45,4
46,46,2
47,47,2
48,48,5
49,49,1
50,50,2
51,51,2
52,52,B
53,53,B
54,54,1
55,55,2
56,56,2
57,57,5
58,58,1
59,59,8
60,60,5
61,61,5
62,62,1
63,63,2
64,64,B
65,65,1
66,66,2
67,67,1
68,68,1
69,69,2
70,70,2
71,71,5
72,72,5
73,73,6
74,74,1
75,75,5
76,76,3
77,77,6
78,78,5
79,79,7
80,80,2
81,81,2
82,82,1
83,83,5
84,84,5
85,85,F
86,86,2
87,87,1
88,88,5
89,89,2
90,90,5
91,91,2
92,92,2
93,93,2
94,94,1
95,95,5
96,96,6
97,97,3
98,98,5
99,99,2
100,100,2
101,101,1
102,102,5
103,103,1
104,104,2
105,105,5
106,106,7
107,107,1
108,108,1
109,109,2
110,110,2
111,111,2
112,112,8
113,113,2
114,114,5
115,115,1
116,116,2
117,117,5
118,118,5
119,119,1
120,120,5
121,121,8
122,122,5
123,123,2
124,124,5
125,125,1
126,126,1
127,127,2
128,128,2
129,129,B
130,130,2
131,131,5
132,132,4
133,133,2
134,134,2
135,135,5
136,136,1
137,137,5
138,138,2
139,139,2
140,140,2
141,141,2
142,142,1
143,143,2
144,144,5
145,145,5
146,146,1
147,147,5
148,148,2
149,149,8
150,150,5
151,151,5
152,152,B
153,153,1
154,154,2
155,155,1
156,156,5
157,157,2
158,158,5
159,159,1
160,160,2
161,161,2
162,162,5
163,163,1
164,164,5
165,165,5
166,166,4
167,167,F
168,168,2
169,169,5
170,170,1
171,171,1
172,172,6
173,173,5
174,174,5
175,175,5
176,176,5
177,177,5
178,178,5
179,179,5
180,180,5
181,181,2
182,182,5
183,183,5
184,184,5
185,185,1
186,186,2
187,187,5
188,188,5
189,189,B
190,190,2
191,191,5
192,192,2
193,193,3
194,194,2
195,195,5
196,196,5
197,197,5
198,198,3
199,199,1
200,200,7
201,201,5
202,202,1
203,203,2
204,204,5
205,205,5
206,206,2
207,207,7
208,208,2
209,209,2
210,210,2
211,211,2
212,212,1
213,213,2
214,214,2
215,215,5
216,216,5
217,217,2
218,218,5
219,219,5
220,220,3
221,221,1
222,222,1
223,223,5
224,224,F
225,225,5
226,226,5
227,227,5
228,228,5
229,229,2
230,230,5
231,231,1
232,232,5
233,233,2
234,234,F
235,235,5
236,236,2
237,237,5
238,238,5
239,239,2
240,240,2
241,241,2
242,242,4
243,243,5
244,244,2
245,245,2
246,246,8
247,247,5
248,248,5
249,249,1
250,250,2
251,251,5
252,252,5
253,253,1
254,254,2
255,255,F
256,256,2
257,257,5
258,258,8
259,259,5
260,260,5
261,261,5
262,262,2
263,263,2
264,264,5
265,265,1
266,266,2
267,267,5
268,268,1
269,269,2
270,270,5
271,271,B
272,272,2
273,273,1
274,274,8
275,275,1
276,276,8
277,277,1
278,278,1
279,279,2
280,280,4
281,281,5
282,282,2
283,283,2
284,284,5
285,285,5
286,286,1
287,287,5
288,288,2
289,289,5
290,290,5
291,291,1
292,292,5
293,293,1
294,294,6
295,295,5
296,296,7
297,297,5
298,298,2
299,299,2
300,300,5
301,301,2
302,302,5
303,303,2
304,304,5
305,305,8
306,306,1
307,307,5
308,308,5
309,309,2
310,310,F
311,311,F
312,312,5
313,313,6
314,314,2
315,315,7
316,316,7
317,317,1
318,318,1
319,319,1
320,320,5
321,321,5
322,322,2
323,323,1
324,324,1
325,325,5
326,326,B
327,327,1
328,328,5
329,329,5
330,330,5
331,331,2
332,332,2
333,333,2
334,334,5
335,335,1
336,336,2
337,337,2
338,338,B
339,339,2
340,340,5
341,341,1
342,342,5
343,343,2
344,344,5
345,345,1
346,346,5
347,347,5
348,348,5
349,349,1
350,350,5
351,351,7
352,352,2
353,353,1
354,354,5
355,355,1
356,356,2
357,357,5
358,358,1
359,359,5
360,360,1
361,361,5
362,362,1
363,363,5
364,364,5
365,365,2
366,366,1
367,367,3
368,368,5
369,369,B
370,370,2
371,371,1
372,372,5
373,373,5
374,374,5
375,375,1
376,376,1
377,377,5
378,378,2
379,379,2
380,380,1
381,381,2
382,382,1
383,383,2
384,384,2
385,385,2
386,386,5
387,387,2
388,388,2
389,389,1
390,390,1
391,391,2
392,392,2
393,393,2
394,394,5
395,395,B
396,396,2
397,397,5
398,398,2
399,399,2
400,400,1
401,401,5
