,Created Date,Closed Date,Location Type,Incident Zip,City,Borough,Latitude,Longitude
177367,2016-10-01 19:38:21,2016-10-01 20:37:51,Residential Building/House,10029.0,NEW YORK,MANHATTAN,40.78857284159168,-73.93963795406691
52678,2016-04-26 23:21:51,2016-04-27 02:36:47,Residential Building/House,11249.0,BROOKLYN,BROOKLYN,40.70573258854396,-73.96338054284557
42095,2016-04-09 22:49:06,2016-04-10 01:24:18,Residential Building/House,10472.0,BRONX,BRONX,40.82644563456838,-73.8758214963798
170582,2016-09-21 12:44:48,2016-09-22 09:29:18,Residential Building/House,11205.0,BROOKLYN,BROOKLYN,40.69486451742089,-73.9792140115764
103860,2016-06-26 15:06:22,2016-06-26 17:49:45,Street/Sidewalk,10471.0,BRONX,BRONX,40.89020286937113,-73.89886783253074
119843,2016-07-16 14:29:09,2016-07-16 15:24:26,Residential Building/House,10002.0,NEW YORK,MANHATTAN,40.71716432426971,-73.98890730409758
114446,2016-07-09 02:18:54,2016-07-09 07:28:54,Residential Building/House,11237.0,BROOKLYN,BROOKLYN,40.70576011063352,-73.92013181495611
182592,2016-10-09 00:04:35,2016-10-09 01:29:42,Residential Building/House,11237.0,BROOKLYN,BROOKLYN,40.70072366844849,-73.92042636811526
217160,2016-12-15 23:44:34,2016-12-16 03:38:26,Store/Commercial,11222.0,BROOKLYN,BROOKLYN,40.72167980000414,-73.94929121758885
129229,2016-07-30 12:50:44,2016-07-30 19:18:42,Residential Building/House,10014.0,NEW YORK,MANHATTAN,40.740366160880974,-74.00523252363153
203679,2016-11-18 09:22:15,2016-11-18 09:27:28,Residential Building/House,10016.0,NEW YORK,MANHATTAN,40.7514314243843,-73.98030078756494
191899,2016-10-25 02:09:34,2016-10-25 08:10:15,Residential Building/House,11235.0,BROOKLYN,BROOKLYN,40.57568183097328,-73.95538842681552
197094,2016-11-04 00:21:02,2016-11-04 03:16:34,Residential Building/House,11420.0,SOUTH OZONE PARK,QUEENS,40.669011528635814,-73.80264192752921
15605,2016-02-08 01:13:11,2016-02-08 02:47:14,Residential Building/House,10029.0,NEW YORK,MANHATTAN,40.78959019306287,-73.94317972271355
37495,2016-03-31 22:23:23,2016-04-01 00:29:42,Residential Building/House,11435.0,JAMAICA,QUEENS,40.70328475513433,-73.80701630125462
11387,2016-01-30 01:56:47,2016-01-30 03:53:16,Residential Building/House,11368.0,CORONA,QUEENS,40.738026417783495,-73.86117333497306
158432,2016-09-05 21:27:29,2016-09-06 09:57:03,Residential Building/House,10469.0,BRONX,BRONX,40.87711893780815,-73.83855371919336
109555,2016-07-03 17:57:37,2016-07-03 21:56:18,Residential Building/House,10303.0,STATEN ISLAND,STATEN ISLAND,40.62241183610707,-74.15931722786938
8830,2016-01-21 22:43:03,2016-01-22 03:24:03,Residential Building/House,11356.0,COLLEGE POINT,QUEENS,40.789570397603825,-73.85265511790297
24442,2016-03-04 20:23:10,2016-03-04 21:40:38,Residential Building/House,10468.0,BRONX,BRONX,40.86304385492859,-73.89855121946627
175211,2016-09-26 00:32:04,2016-09-26 03:00:44,Store/Commercial,11211.0,BROOKLYN,BROOKLYN,40.714325621235396,-73.96088683485945
134238,2016-08-06 20:57:01,2016-08-06 21:18:18,Residential Building/House,11212.0,BROOKLYN,BROOKLYN,40.657332045032966,-73.91727043576724
191032,2016-10-23 02:40:05,2016-10-23 17:41:06,Residential Building/House,10456.0,BRONX,BRONX,40.8359916935734,-73.91147214534836
86629,2016-06-10 01:08:20,2016-06-10 02:17:07,Residential Building/House,10035.0,NEW YORK,MANHATTAN,40.7991675460131,-73.93001005544936
59947,2016-05-08 01:46:55,2016-05-08 09:13:29,Residential Building/House,11237.0,BROOKLYN,BROOKLYN,40.7027993126336,-73.9136434730234
118664,2016-07-14 20:52:38,2016-07-15 00:06:47,Residential Building/House,10017.0,NEW YORK,MANHATTAN,40.75564086047822,-73.97510913260558
8122,2016-01-18 02:20:39,2016-01-18 06:40:20,Residential Building/House,10032.0,NEW YORK,MANHATTAN,40.835014163255074,-73.94645114362731
118346,2016-07-13 20:42:15,2016-07-13 23:03:43,Residential Building/House,11692.0,ARVERNE,QUEENS,40.59347766690596,-73.78440073933929
96400,2016-06-19 02:23:43,2016-06-19 03:24:05,Residential Building/House,11368.0,CORONA,QUEENS,40.74474678619021,-73.86684692390446
123158,2016-07-20 00:25:50,2016-07-20 02:53:36,Residential Building/House,11234.0,BROOKLYN,BROOKLYN,40.63667995463003,-73.92070090369522
69337,2016-05-21 03:43:46,2016-05-21 06:36:24,Street/Sidewalk,10031.0,NEW YORK,MANHATTAN,40.82523896768107,-73.94972899273115
84246,2016-06-05 02:04:25,2016-06-05 07:33:53,Residential Building/House,11429.0,QUEENS VILLAGE,QUEENS,40.710086027916134,-73.75237567059249
210104,2016-11-30 14:17:51,2016-11-30 15:07:59,Residential Building/House,11226.0,BROOKLYN,BROOKLYN,40.65363313018957,-73.96061608221525
209938,2016-11-29 16:18:52,2016-11-29 19:22:59,House of Worship,11205.0,BROOKLYN,BROOKLYN,40.694597197905004,-73.95591469500398
105991,2016-06-30 13:56:23,2016-06-30 15:59:44,Residential Building/House,10468.0,BRONX,BRONX,40.8722303566294,-73.88958087735644
187860,2016-10-16 23:30:42,2016-10-17 17:18:35,Street/Sidewalk,,,Unspecified,,
99275,2016-06-22 20:15:36,2016-06-22 20:52:46,Residential Building/House,11234.0,BROOKLYN,BROOKLYN,40.62477977955104,-73.91112908492475
153198,2016-09-03 01:54:52,2016-09-03 16:59:03,Street/Sidewalk,10033.0,NEW YORK,MANHATTAN,40.85007654181052,-73.92999263384526
11823,2016-01-30 22:47:58,2016-01-31 01:44:37,Residential Building/House,11374.0,REGO PARK,QUEENS,40.72666727565442,-73.8578308279301
28729,2016-03-12 21:47:32,2016-03-12 21:51:59,Residential Building/House,10458.0,BRONX,BRONX,40.856174946067945,-73.88506718868362
15703,2016-02-08 15:03:37,2016-02-09 00:20:40,Residential Building/House,11217.0,BROOKLYN,BROOKLYN,40.68318147988576,-73.99007394167323
147224,2016-08-27 00:29:29,2016-08-27 02:02:38,Street/Sidewalk,10458.0,BRONX,BRONX,40.87371409747253,-73.88559371708128
129082,2016-07-30 02:31:50,2016-07-30 06:35:15,Residential Building/House,10306.0,STATEN ISLAND,STATEN ISLAND,40.56663988499296,-74.12393669263011
84165,2016-06-05 01:41:03,2016-06-05 02:45:40,Residential Building/House,11420.0,SOUTH OZONE PARK,QUEENS,40.68274069372988,-73.81234703562804
141931,2016-08-19 10:21:49,2016-08-21 08:23:22,Street/Sidewalk,10457.0,BRONX,BRONX,40.84470301722179,-73.89171563538244
107308,2016-07-02 18:13:45,2016-07-02 20:32:18,Street/Sidewalk,11203.0,BROOKLYN,BROOKLYN,40.65173313718186,-73.9303809561556
115696,2016-07-10 00:24:40,2016-07-10 04:32:10,Residential Building/House,10457.0,BRONX,BRONX,40.85241741843912,-73.89975305493228
165038,2016-09-16 00:18:22,2016-09-16 01:49:12,Street/Sidewalk,10457.0,BRONX,BRONX,40.84772179001598,-73.90363483612138
122102,2016-07-17 21:25:40,2016-07-17 22:02:56,Residential Building/House,10453.0,BRONX,BRONX,40.84673032697663,-73.92496128467603
87145,2016-06-10 22:21:22,2016-06-10 22:49:38,Store/Commercial,10012.0,NEW YORK,MANHATTAN,40.726716318100976,-73.99169101126809
162014,2016-09-11 00:31:28,2016-09-12 03:22:27,Residential Building/House,10034.0,NEW YORK,MANHATTAN,40.87146121855882,-73.91474418432799
54430,2016-04-30 16:08:21,2016-04-30 20:52:43,Street/Sidewalk,11238.0,BROOKLYN,BROOKLYN,40.6745888605429,-73.95874709208529
124054,2016-07-22 02:38:20,2016-07-22 05:19:30,Residential Building/House,11205.0,BROOKLYN,BROOKLYN,40.6960118809278,-73.96756190388936
201481,2016-11-12 22:09:17,2016-11-12 22:47:04,Store/Commercial,10012.0,NEW YORK,MANHATTAN,40.72311823720311,-74.00094521819905
140121,2016-08-14 12:15:10,2016-08-14 16:02:19,Residential Building/House,10463.0,BRONX,BRONX,40.879928490886265,-73.90086876259396
38291,2016-04-02 00:25:43,2016-04-02 01:29:02,Residential Building/House,10003.0,NEW YORK,MANHATTAN,40.72520373137778,-73.98899976914403
13463,2016-02-04 11:35:22,2016-02-04 12:01:38,Street/Sidewalk,10011.0,NEW YORK,MANHATTAN,40.74421978537006,-74.00535191820083
215201,2016-12-11 00:07:59,2016-12-11 00:51:23,Residential Building/House,11207.0,BROOKLYN,BROOKLYN,40.68366834248024,-73.90670949646037
105523,2016-06-29 18:22:51,2016-06-29 18:39:12,Residential Building/House,11428.0,QUEENS VILLAGE,QUEENS,40.71803205146057,-73.7447921637081
141971,2016-08-19 16:15:21,2016-08-19 21:16:56,Park/Playground,10452.0,BRONX,BRONX,40.835332853716544,-73.92699424779305
88508,2016-06-11 20:54:57,2016-06-11 21:15:48,Residential Building/House,10030.0,NEW YORK,MANHATTAN,40.81652309085712,-73.94662137130184
63449,2016-05-13 23:54:31,2016-05-14 00:34:45,Store/Commercial,11102.0,ASTORIA,QUEENS,40.767646527908546,-73.92078684265488
147334,2016-08-27 01:36:53,2016-08-27 04:37:39,Residential Building/House,11357.0,WHITESTONE,QUEENS,40.77946501690673,-73.82206543771386
84239,2016-06-05 02:02:30,2016-06-05 02:44:26,Residential Building/House,11211.0,BROOKLYN,BROOKLYN,40.707949827504095,-73.95422866386211
23643,2016-02-29 21:54:13,2016-03-02 02:56:47,Residential Building/House,10456.0,BRONX,BRONX,40.83017797904125,-73.91456581793403
147795,2016-08-27 18:23:15,2016-08-28 04:49:54,Residential Building/House,10040.0,NEW YORK,MANHATTAN,40.85908872412456,-73.92768757158264
37210,2016-03-30 21:17:17,2016-03-30 22:10:50,Residential Building/House,11205.0,BROOKLYN,BROOKLYN,40.690243604946,-73.97225962383666
54105,2016-04-30 01:05:50,2016-04-30 03:26:43,Residential Building/House,10458.0,BRONX,BRONX,40.86591987276827,-73.892031786234
16410,2016-02-12 07:54:18,2016-02-12 12:54:49,Residential Building/House,10458.0,BRONX,BRONX,40.857936316199954,-73.89286535589055
201642,2016-11-12 23:23:35,2016-11-13 03:05:12,Residential Building/House,11249.0,BROOKLYN,BROOKLYN,40.71660956963685,-73.96180176173594
182602,2016-10-09 00:08:31,2016-10-09 03:15:10,Club/Bar/Restaurant,11206.0,BROOKLYN,BROOKLYN,40.703934132983214,-73.9475518766957
34773,2016-03-25 23:18:20,2016-03-26 07:29:36,Residential Building/House,10451.0,BRONX,BRONX,40.82495157742136,-73.91394382693301
211312,2016-12-03 05:58:40,2016-12-03 06:32:00,Residential Building/House,11212.0,BROOKLYN,BROOKLYN,40.66249333397121,-73.9270067970956
148794,2016-08-28 00:15:12,2016-08-28 08:04:29,Residential Building/House,10456.0,BRONX,BRONX,40.83699156288199,-73.90896639607429
81096,2016-06-02 16:22:20,2016-06-02 23:11:27,Street/Sidewalk,10040.0,NEW YORK,MANHATTAN,40.861505043794175,-73.9249301531775
18489,2016-02-16 23:57:29,2016-02-17 02:03:09,Store/Commercial,10027.0,NEW YORK,MANHATTAN,40.80669795254655,-73.94291226196874
38239,2016-04-02 00:11:47,2016-04-02 01:33:33,Residential Building/House,10457.0,BRONX,BRONX,40.854698565687784,-73.9000966416353
110961,2016-07-04 00:50:15,2016-07-04 02:32:13,Street/Sidewalk,10032.0,NEW YORK,MANHATTAN,40.84189808062376,-73.93603686370562
101573,2016-06-25 19:03:49,2016-06-25 22:09:36,Store/Commercial,10033.0,NEW YORK,MANHATTAN,40.847311782294966,-73.93812441856439
86300,2016-06-09 21:42:40,2016-06-12 01:32:58,Street/Sidewalk,10457.0,BRONX,BRONX,40.843441342001,-73.90859976102806
206198,2016-11-22 22:25:41,2016-11-23 04:56:41,Residential Building/House,11213.0,BROOKLYN,BROOKLYN,40.6750008164119,-73.94605688279944
178867,2016-10-02 19:24:31,2016-10-02 21:55:19,Residential Building/House,10472.0,BRONX,BRONX,40.826820288080015,-73.87970512600091
126533,2016-07-24 03:25:31,2016-07-24 03:35:05,Street/Sidewalk,10033.0,NEW YORK,MANHATTAN,40.84394445656458,-73.93394946991444
39054,2016-04-02 23:02:37,2016-04-02 23:59:04,Residential Building/House,10028.0,NEW YORK,MANHATTAN,40.77300064517789,-73.94822678358565
125621,2016-07-23 23:15:36,2016-07-24 05:40:01,Residential Building/House,10040.0,NEW YORK,MANHATTAN,40.85908872412456,-73.92768757158264
107814,2016-07-02 22:22:48,2016-07-02 23:40:03,Club/Bar/Restaurant,10026.0,NEW YORK,MANHATTAN,40.80150480597661,-73.94847189807395
168309,2016-09-18 02:55:21,2016-09-18 06:06:39,Residential Building/House,11372.0,JACKSON HEIGHTS,QUEENS,40.75091947725499,-73.87145437813719
203408,2016-11-17 20:15:22,2016-11-17 20:33:41,Street/Sidewalk,10027.0,NEW YORK,MANHATTAN,40.81569076449531,-73.95829474326734
87378,2016-06-10 23:31:20,2016-06-11 04:44:24,Store/Commercial,11106.0,ASTORIA,QUEENS,40.76125401882301,-73.92488070486715
206814,2016-11-24 10:01:26,2016-11-24 10:52:34,Park/Playground,10003.0,NEW YORK,MANHATTAN,40.730924257933005,-73.9959661155022
5189,2016-01-10 02:52:51,2016-01-10 05:00:45,Residential Building/House,11233.0,BROOKLYN,BROOKLYN,40.66745132787962,-73.92418971048366
128922,2016-07-30 00:41:29,2016-07-30 05:06:41,Residential Building/House,10031.0,NEW YORK,MANHATTAN,40.82107204495206,-73.95532147327381
204246,2016-11-19 00:45:26,2016-11-19 01:30:21,Residential Building/House,10456.0,BRONX,BRONX,40.83698169616957,-73.90692095378476
13762,2016-02-05 12:26:31,2016-02-05 19:19:36,Residential Building/House,10030.0,NEW YORK,MANHATTAN,40.822993975005396,-73.9441664862404
