Year,Quarter,Month,Day,Country/Region,Aircraft Manufacturer,Aircraft,Location,Operator,Sum of Ground,Sum of Fatalities (air),Sum of Aboard
1908,Qtr 3,September,17,Virginia,Wright Flyer,Wright Flyer III?,Fort Myer Virginia,Army U.S. - Military,0,1,2
1909,Qtr 3,September,7,France?,Wright,Wright ByplaneSC1,Juvisy-sur-Orge France?,N/A,0,1,1
1912,Qtr 3,July,12,New,Dirigible?,Dirigible?,Atlantic City New,Navy U.S. - JerseyMilitary,0,5,5
1913,Qtr 3,August,6,British,Curtiss,Curtiss seaplane?,Victoria British,Canada          Columbia Private,0,1,1
1913,Qtr 3,September,9,N/A,Zeppelin,Zeppelin L 1 (airship)?,Over the North SeaMilitary - German Navy,N/A,0,14,20
1913,Qtr 4,October,17,Germany,Zeppelin,Zeppelin L 2 (airship)?,Near Johannisthal Germany,Navy German - Military,0,28,28
1915,Qtr 1,March,5,Belgium,Zeppelin,Zeppelin L 8 (airship)?,Tienen Belgium,Navy German - Military,0,17,41
1915,Qtr 3,September,3,Germany,Zeppelin,Zeppelin L 10 (airship)?,Off Cuxhaven Germany,Navy German - Military,0,19,19
1916,Qtr 3,July,28,Bulgeria,Schutte,Schutte  Lanz S,Near Jambol Bulgeria,Army German - Military,0,20,20
1916,Qtr 3,September,24,England,Zeppelin,Zeppelin L 32 (airship)?,Billericay England,Navy German - Military,0,22,22
1916,Qtr 4,October,1,England,Zeppelin,Zeppelin L 31 (airship)?,Potters Bar England,Navy German - Military,0,19,19
1916,Qtr 4,November,21,Germany,Super Zeppelin,Super Zeppelin (airship)?,Mainz Germany,Army German - Military,0,27,28
1916,Qtr 4,November,28,England,Zeppelin,Zeppelin L 34 (airship)?,Off West Hartlepool England,Navy German - Military,0,20,20
1917,Qtr 1,March,4,Belgium,Airship?,Airship?,Near Gent Belgium,Army German - Military,0,20,20
1917,Qtr 1,March,30,N/A,Schutte,Schutte  Lanz S,Off Northern GermanyMilitary - German Navy,N/A,0,23,23
1917,Qtr 2,May,14,North,Zeppelin,Zeppelin L 22 (airship)?,Near Texel Island North,Navy German - SeaMilitary,0,21,21
1917,Qtr 2,June,14,North,Zeppelin,Zeppelin L 43 (airship)?,Off Vlieland Island North,Navy German - SeaMilitary,0,24,24
1917,Qtr 2,June,17,England?,Zepplin,Zepplin L 48 (air ship)L,Near Yarmouth England?,N/A,0,14,16
1917,Qtr 3,August,21,N/A,Zeppelin,Zeppelin L 23 (airship)?,Off western DenmarkMilitary - German Navy,N/A,0,18,18
1917,Qtr 4,October,20,France,Zeppelin,Zeppelin L 44 (airship)?,Near Luneville France,Navy German - Military,0,18,18
1918,Qtr 2,April,7,N/A,Zeppelin,Zeppelin L 59 (airship)?,Over the MediterraneanMilitary - German Navy,N/A,0,23,23
1918,Qtr 3,August,5,Germany,Zeppelin,Zeppelin L 70 (airship)?,Off Helgoland Island Germany,Navy German - Military,0,22,22
1918,Qtr 3,August,11,North,Zeppelin,Zeppelin L 53 (airship)?,Ameland Island North,Navy German - SeaMilitary,0,19,19
1918,Qtr 4,December,16,New,De Havilland,De Havilland DH 497,Elizabeth New,Service Mail Aerial JerseyUS,0,1,1
1919,Qtr 2,May,25,Ohio,De Havilland,De Havilland DH 461,Cleveland Ohio,Service Mail Aerial US,0,1,1
1919,Qtr 3,July,19,Pennsylvania,De Havilland,De Havilland DH 482,Dix Run Pennsylvania,Service Mail Aerial US,0,1,1
1919,Qtr 3,July,21,Illinois,FD Type,FD Type Dirigible?,Chicago Illinois,Tire Goodyear Express Air Wingfoot,10,3,0
1919,Qtr 3,August,2,Italy,Caproni,Caproni Ca.48?,Verona Italy,Company Caproni,0,14,14
1919,Qtr 4,October,2,England,De Havilland,De Havilland DH 4?,Newcastle England,Travel and Transport Aircraft,0,1,1
1919,Qtr 4,October,14,Maryland,Curtiss,Curtiss R 4LM32,Cantonsville Maryland,Service Mail Aerial US,0,1,1
1919,Qtr 4,October,20,Kent,De Havilland,De Havilland DH 4G,English Channel off Forkstone Kent,Travel and Transport Aircraft,0,0,0
1919,Qtr 4,October,30,New,De Havilland,De Havilland DH.477,Long Valley New,Service Mail Aerial JerseyUS,0,1,1
1919,Qtr 4,December,11,Surrey,De Havilland,De Havilland DH 4G,Catherham Surrey,UKAircraft Travel Transport,0,1,1
1920,Qtr 1,March,10,Indiana,De Havilland,De Havilland DH 465,New Paris Indiana,Service Mail Aerial US,0,1,1
1920,Qtr 1,March,30,New,De Havilland,De Havilland DH 472,Newark New,Service Mail Aerial JerseyUS,0,1,1
1920,Qtr 2,April,10,New,Curtiss,Curtiss R 4LM49,Newark New,Service Mail Aerial JerseyUS,0,1,2
1920,Qtr 2,April,11,New,Curtiss,Curtiss JN 4H44,Heller Field New,Service Mail Aerial JerseyUS,0,1,2
1920,Qtr 2,May,12,Iowa,De Havilland,De Havilland DH 479,Oskaloosa Iowa,Service Mail Aerial US,0,1,2
1920,Qtr 2,June,6,Ohio,De Havilland,De Havilland DH 4204,Cleveland Ohio,Service Mail Aerial US,0,1,1
1920,Qtr 3,July,20,Columbia,Farman,Farman F 40?,Cartagena Columbia,Aérea Navegación de Colombiana Compañia,0,1,1
1920,Qtr 3,August,16,England,Armstrong,Armstrong  Whitworth F,Bedford England,Air By,0,1,1
1920,Qtr 3,August,16,Maryland,De Havilland,De Havilland DH 4317,College Park Maryland,Service Mail Aerial US,0,1,1
1920,Qtr 3,September,1,New,Junkers,Junkers JL 6305,Morristown New,Service Mail Aerial JerseyUS,0,2,2
