,Fatal,Date,Location,Carrier,Flight,Type
1,2907*,09/11/2001,"New York City, New        York",American        /United Airlines,11/93,B767 / B767
2,583,03/27/1977,"Tenerife, Canary Islands",Pan Am / KLM,1736/4805,B747 / B747
3,520,08/12/1985,"Mt. Osutaka, Japan",Japan Air Lines,123,B747
4,349,11/12/1996,"New Delhi, India",Saudi / Kazastan,763/1907,B747 / Il76
5,346,03/03/1974,"Bois d'      Ermenonville, France",Turkish      Airlines,981,DC10
6,329,06/23/1985,Atlantic Ocean West of Ireland,Air India,182,B747
7,301,08/19/1980,"Riyadh, Saudi Arabia",Saudi Arabian      Airlines,163,L1011
8,298,07/17/2014,"Hrabove, Ukraine",Malaysia Airlines,17,B-777
9,290,07/03/1988,Persian Gulf,Iran Air,655,A300
10,275,02/19/2003,"Shahdad, Iran",Islamic Revolution's Guards Co.,-,Il-76MD
11,273,05/25/1979,"Chicago, Illinois",American Airlines,191,DC10
12,270,12/21/1988,"Lockerbie, Scotland",Pan American World      Airways,103,B747
13,269,09/01/1983,"Sakhalin Island, Russia",Korean Airlines,007,B747
14,265,11/12/2001,"Belle Harbor,       Queens, New York",American Airlines,587,A300
15,264,04/26/1994,"Komaki, Japan",China Airlines,140,A300
16,261,07/11/1991,"Jeddah, Saudi Arabia",Nationair/charter Nigeria AW,2021,DC8
17,257,04/11/2018,"Bufarik AB, Algeria",Algerian Air Force,-,Il76
-,257,11/28/1979,"Mt. Erebus, Antarctica",Air New Zealand,901,DC10
19,256,12/12/1985,"Gander, Newfoundland, Canada",Arrow Airways,MF1285R,DC8
20,239,03/08/2014,South Indian Ocean,Malaysia Airlines,370,B777
21,234,09/26/1997,"Buah Nabar, Indonesia",Garuda Indonesia      Airlines,152,A300
22,230,07/17/1996,"Off East Moriches, New York",Trans World      Airlines,800,B747
23,229,09/02/1998,"Off Nova Scotia, Canada",Swissair,111,MD11
24,228,06/01/2009,Atlantic Ocean,Air France,447,A330
-,228,08/06/1997,"Agana, Guam",Korean Airlines,801,B747
26,227,01/08/1996,"Kinshasa, Zaire",African Air,-,AN32
27,225,05/25/2002,"Off Penghu, Taiwan",China       Airlines,611,B747
28,224,10/31/2015,"North Sinai, Egypt",Metroair,9268,A321
29,223,05/26/1991,"Ban Nong Rong, Thailand",Lauda Air,004,B767
30,217,10/31/1999,"Off Nantucket,        Massachusetts",EgyptAir,990,B767
31,213,01/01/1978,"Off Bandra, Maharashtra, India",Air India,855,B747
32,203,02/16/1998,"Taipei, Taiwan",China Airlines,676,A300
33,200,07/10/1985,"Uchuduk, Uzbekistan, USSR",Aeroflot,7425,TU154
34,199,07/17/2007,"Sao Paulo, Brazil",TAM Brazil,3054,A320
35,191,12/04/1974,"Maskeliya, Sri Lanka",Martinair Holland,138,DC8
36,189,09/11/2001,"Arlington,        Virginia",American        Airlines,77,B757
-,189,02/06/1996,"Puerto Plata, Dominican Republic",Alas Nacionales      (Birgenair),301,B757
-,189,10/29/2018,Lion Air,"Jakarta, Indonesia",610,B737
39,188,08/03/1975,"Immouzer, Morocco",Aila Royal      Jordanian Airlines,-,B707
40,183,05/09/1987,"Warsaw, Poland",Polskie Linie      Lotnicze,5055,IL62
-,183,11/15/1978,"Katunavake, Sir        Lanka",Loftleidir,001,DC8
42,181,11/27/1983,"Madrid, Spain",Avanca,11,B747
43,180,12/01/1981,"Mt. San Pietro, Corsica, France",Index Adria      Avioproment,JP1308,MD80
44,178,10/11/1984,"Omsk, Russia",Aeroflot,3352,TU154
-,178,08/11/1979,"Dneprodzerzhinsk, USSR",Aeroflot / Aeroflot,7880/7628,TU134/TU134
46,176,01/08/2020,"Shahriah, Iran",Ukraine International Airlines,PS752,B737
-,176,06/07/1989,"Paramaribo, Surinam",Surinam Airways,764,DC8
-,176,09/10/1976,"Gaj, Hrvatska, Yugoslavia",Index Adria Avio / BA,550/476,DC9 /Trident
-,176,01/22/1973,"Kano, Nigeria",Aila Royal Jordanian Airlines,-,B707
50,174,10/13/1972,"Krasnaya Polyana, USSR",Aeroflot,217,IL62
51,171,09/19/1989,"Bilma, Niger",Union des Trans. Aeriens,772,DC10
-,171,09/03/1989,"Havana, Cuba",Cubana,9646,IL62M
